,AM1,AM2,AM3,AM4,AM5,AM6,CD1,CD2,CD3,CD4,CD5,CD6,BU1,BU2,BU3,BU4,BU5,BU6,Rur,sex,Pub,pro_an,pro_cd,pro_bu,Mat
1,1,1,1,NA,1,1,NA,1,4,1,1,4,2,1,1,1,1,2,0,M,1,1,2.2,1.333333333,421.6888
2,NA,1,1,1,4,4,NA,2,3,3,NA,2,1,1,2,1,1,3,0,F,1,2.2,2.5,1.5,364.7624
3,4,4,3,NA,4,4,2,3,3,NA,3,NA,1,1,1,1,1,1,0,F,1,3.8,2.75,1,437.2205
4,NA,2,2,2,4,3,3,2,2,NA,3,NA,1,1,1,1,1,3,0,M,1,2.6,2.5,1.333333333,452.2478
5,2,2,2,NA,2,2,4,4,NA,4,4,4,1,2,1,1,1,1,0,F,1,2,4,1.166666667,345.5884
6,3,NA,2,2,4,3,2,2,2,3,NA,NA,2,2,1,1,1,1,0,F,1,2.8,2.25,1.333333333,495.1239
7,4,3,3,3,NA,3,3,NA,4,3,3,2,2,2,1,1,1,2,1,F,1,3.2,3,1.5,379.9869
8,4,3,NA,4,4,4,NA,NA,2,3,3,3,3,2,3,1,1,1,0,F,1,3.8,2.75,1.833333333,440.0863
9,3,3,3,3,NA,3,3,NA,4,NA,4,4,2,3,1,1,1,4,0,F,1,3,3.75,2,322.2659
10,NA,NA,NA,NA,NA,NA,1,NA,3,NA,2,4,NA,NA,NA,1,NA,NA,1,F,1,NA,2.5,1,306.0381
11,4,4,4,4,NA,4,3,NA,3,3,3,NA,3,4,3,3,3,4,1,M,1,4,3,3.333333333,417.0243
12,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,4,1,1,1,1,1,1,1,M,1,NA,3.25,1,414.7002
13,2,2,NA,2,3,2,3,NA,2,3,2,1,1,1,1,1,1,1,0,F,1,2.2,2.2,1,426.639
14,4,NA,4,4,4,4,NA,4,3,4,2,NA,2,4,1,1,1,2,0,F,1,4,3.25,1.833333333,422.1668
15,NA,3,3,3,4,2,3,3,NA,3,2,NA,4,2,1,2,3,2,0,M,1,3,2.75,2.333333333,416.5137
16,3,3,3,3,3,NA,3,NA,2,3,3,NA,1,1,1,1,1,1,0,M,1,3,2.75,1,348.1975
17,3,NA,3,3,3,2,NA,4,4,NA,4,4,1,2,1,1,1,2,1,F,1,2.8,4,1.333333333,300.9176
18,4,NA,4,4,3,3,2,1,NA,3,2,3,1,1,1,1,1,1,0,F,1,3.6,2.2,1,440.5898
19,4,4,NA,4,4,4,3,2,NA,3,1,1,2,1,1,1,1,2,0,F,1,4,2,1.333333333,395.6946
20,4,NA,NA,NA,NA,NA,NA,4,4,4,NA,4,1,1,1,1,1,1,0,M,1,4,4,1,378.5287
21,NA,1,1,1,1,1,3,3,3,3,NA,3,1,1,1,1,1,1,1,M,1,1,3,1,358.1975
22,NA,2,2,2,4,4,NA,2,3,4,2,2,1,1,1,1,1,1,0,M,1,2.8,2.6,1,366.3366
23,4,NA,4,4,4,4,3,NA,4,3,2,2,1,1,1,1,1,1,0,F,0,4,2.8,1,353.774
24,NA,2,2,2,4,3,4,3,4,NA,4,4,2,1,1,1,1,1,0,F,1,2.6,3.8,1.166666667,370.2752
25,1,1,1,NA,1,1,NA,3,3,3,3,3,1,1,1,1,1,1,0,M,1,1,3,1,296.2855
26,3,NA,3,2,4,4,NA,3,4,4,4,NA,1,1,1,1,1,3,0,F,0,3.2,3.75,1.333333333,552.1744
27,3,2,3,3,NA,3,3,NA,4,4,4,NA,1,2,3,2,1,4,0,M,1,2.8,3.75,2.166666667,328.35
28,1,1,1,NA,3,1,3,NA,NA,4,2,3,NA,NA,NA,NA,NA,NA,0,M,1,1.4,3,NA,402.4631
29,3,2,2,3,NA,3,4,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,0,M,0,2.6,3.25,NA,464.323
30,2,2,2,2,3,NA,NA,2,1,3,3,3,2,1,1,1,1,2,0,F,0,2.2,2.4,1.333333333,311.6818
31,2,3,NA,2,2,2,4,3,4,NA,4,4,1,1,1,1,1,1,1,F,1,2.2,3.8,1,314.7323
32,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,3,1,1,1,1,1,NA,1,M,1,NA,3.2,1,322.3313
33,3,3,NA,3,3,3,3,4,3,NA,NA,3,1,1,1,1,1,1,1,F,1,3,3.25,1,340.4872
34,4,4,NA,4,4,4,3,3,3,NA,3,NA,1,1,1,1,1,1,0,F,1,4,3,1,343.4313
